op,n,radix,Logical qubits,Physical qubits,Logical depth,"Runtime, seconds"
QuantumArithmetic.WBC2023.AddWithOp,304,5,2879,2213838,6909,0.0525084
QuantumArithmetic.WBC2023.AddWithOp,304,10,2708,2090376,6239,0.0474164
QuantumArithmetic.WBC2023.AddWithOp,304,25,2634,1671172,5885,0.040018
QuantumArithmetic.WBC2023.AddWithOp,304,50,2650,1680420,5767,0.0392156
QuantumArithmetic.WBC2023.AddWithOp,304,100,2734,1728972,5698,0.0387464
QuantumArithmetic.WBC2023.AddWithOp,304,250,2930,1842260,4892,0.0332656
QuantumArithmetic.WBC2023.AddWithOp,362,3,3715,2898230,9403,0.0714628
QuantumArithmetic.WBC2023.AddWithOp,362,5,3431,2693182,8339,0.0633764
QuantumArithmetic.WBC2023.AddWithOp,362,10,3223,2462206,7531,0.0572356
QuantumArithmetic.WBC2023.AddWithOp,362,25,3101,2374122,6885,0.052326
QuantumArithmetic.WBC2023.AddWithOp,362,50,3109,2379898,6724,0.0511024
QuantumArithmetic.WBC2023.AddWithOp,362,100,3089,2365458,5872,0.0446272
QuantumArithmetic.WBC2023.AddWithOp,362,250,3284,2046872,5066,0.0344488
QuantumArithmetic.WBC2023.AddWithOp,431,3,4412,3401464,11203,0.0851428
QuantumArithmetic.WBC2023.AddWithOp,431,5,4075,3158150,9948,0.0756048
QuantumArithmetic.WBC2023.AddWithOp,431,10,3825,2959650,8979,0.0682404
QuantumArithmetic.WBC2023.AddWithOp,431,25,3693,2801546,8361,0.0635436
QuantumArithmetic.WBC2023.AddWithOp,431,50,3640,2763280,7774,0.0590824
QuantumArithmetic.WBC2023.AddWithOp,431,100,3719,2820318,7702,0.0585352
QuantumArithmetic.WBC2023.AddWithOp,431,250,3705,2810210,5273,0.0400748
QuantumArithmetic.WBC2023.AddWithOp,512,3,5236,4014392,13383,0.1017108
QuantumArithmetic.WBC2023.AddWithOp,512,5,4828,3701816,11839,0.0899764
QuantumArithmetic.WBC2023.AddWithOp,512,10,4530,3468660,10686,0.0812136
QuantumArithmetic.WBC2023.AddWithOp,512,25,4358,3344476,9873,0.0750348
QuantumArithmetic.WBC2023.AddWithOp,512,50,4349,3337978,9663,0.0734388
QuantumArithmetic.WBC2023.AddWithOp,512,100,4422,3390684,9568,0.0727168
QuantumArithmetic.WBC2023.AddWithOp,512,250,4711,3599342,9519,0.0723444
QuantumArithmetic.WBC2023.AddWithOp,609,3,6215,4721230,15946,0.1211896
QuantumArithmetic.WBC2023.AddWithOp,609,5,5725,4349450,14067,0.1069092
QuantumArithmetic.WBC2023.AddWithOp,609,10,5358,4084476,12624,0.0959424
QuantumArithmetic.WBC2023.AddWithOp,609,25,5175,3934350,11856,0.0901056
QuantumArithmetic.WBC2023.AddWithOp,609,50,5155,3919910,11600,0.08816
QuantumArithmetic.WBC2023.AddWithOp,609,100,5222,3968284,11482,0.0872632
QuantumArithmetic.WBC2023.AddWithOp,609,250,5301,4025322,9810,0.074556
QuantumArithmetic.WBC2023.AddWithOp,724,3,7385,5565970,19040,0.144704
QuantumArithmetic.WBC2023.AddWithOp,724,5,6800,5125600,16821,0.1278396
QuantumArithmetic.WBC2023.AddWithOp,724,10,6375,4818750,15185,0.115406
QuantumArithmetic.WBC2023.AddWithOp,724,25,6100,4620200,13873,0.1054348
QuantumArithmetic.WBC2023.AddWithOp,724,50,6067,4596374,13571,0.1031396
QuantumArithmetic.WBC2023.AddWithOp,724,100,6126,4638972,13410,0.101916
QuantumArithmetic.WBC2023.AddWithOp,724,250,6000,4548000,10155,0.077178
QuantumArithmetic.WBC2023.AddWithOp,861,3,8761,7961202,22626,0.1900584
QuantumArithmetic.WBC2023.AddWithOp,861,5,8081,6050482,20076,0.1525776
QuantumArithmetic.WBC2023.AddWithOp,861,10,7572,5682984,18118,0.1376968
QuantumArithmetic.WBC2023.AddWithOp,861,25,7272,5466384,16822,0.1278472
QuantumArithmetic.WBC2023.AddWithOp,861,50,7221,5429562,16451,0.1250276
QuantumArithmetic.WBC2023.AddWithOp,861,100,7169,5392018,15464,0.1175264
QuantumArithmetic.WBC2023.AddWithOp,861,250,7343,5517646,14569,0.1107244
QuantumArithmetic.WBC2023.AddWithOp,1024,3,10416,9420912,27020,0.226968
QuantumArithmetic.WBC2023.AddWithOp,1024,5,9587,8671734,23861,0.2004324
QuantumArithmetic.WBC2023.AddWithOp,1024,10,8981,8119242,21535,0.180894
QuantumArithmetic.WBC2023.AddWithOp,1024,25,8601,7784082,19849,0.1667316
QuantumArithmetic.WBC2023.AddWithOp,1024,50,8532,6376104,19409,0.1475084
QuantumArithmetic.WBC2023.AddWithOp,1024,100,8575,6407150,19199,0.1459124
QuantumArithmetic.WBC2023.AddWithOp,1024,250,8844,7998408,19081,0.1602804
QuantumArithmetic.WBC2023.AddWithOp,1218,3,12366,11140812,32146,0.2700264
QuantumArithmetic.WBC2023.AddWithOp,1218,5,11389,10261098,28420,0.238728
QuantumArithmetic.WBC2023.AddWithOp,1218,10,10654,9612828,25574,0.2148216
QuantumArithmetic.WBC2023.AddWithOp,1218,25,10230,9238860,23815,0.200046
QuantumArithmetic.WBC2023.AddWithOp,1218,50,10137,9156834,23283,0.1955772
QuantumArithmetic.WBC2023.AddWithOp,1218,100,10167,9183294,23027,0.1934268
QuantumArithmetic.WBC2023.AddWithOp,1218,250,10020,9035640,19663,0.1651692
QuantumArithmetic.WBC2023.AddWithOp,1448,3,14690,13190580,38303,0.3217452
QuantumArithmetic.WBC2023.AddWithOp,1448,5,13528,12147696,33888,0.2846592
