op,n,Logical qubits,Physical qubits,Logical depth,"Runtime, seconds"
QuantumArithmetic.JHHA2016.Add_Mod2N,4096,16644,14950008,24576,0.2064384
QuantumArithmetic.JHHA2016.Add_Mod2N,4871,19767,17704494,29226,0.2454984
QuantumArithmetic.JHHA2016.Add_Mod2N,5793,23480,20979360,34758,0.2919672
QuantumArithmetic.JHHA2016.Add_Mod2N,6889,27892,24870744,41334,0.3472056
QuantumArithmetic.JHHA2016.Add_Mod2N,8192,33134,29494188,49152,0.4128768
QuantumArithmetic.JHHA2016.Add_Mod2N,9742,39366,41901228,58452,0.5377584
QuantumArithmetic.JHHA2016.Add_Mod2N,11585,46774,49738892,69510,0.639492
QuantumArithmetic.JHHA2016.Add_Mod2N,13777,55581,59056698,82662,0.7604904
QuantumArithmetic.JHHA2016.Add_Mod2N,16384,66052,70135016,98304,0.9043968
QuantumArithmetic.JHHA2016.Add_Mod2N,19484,78498,83302884,116904,1.0755168
QuantumArithmetic.JHHA2016.Add_Mod2N,23170,93292,98954936,139020,1.278984
QuantumArithmetic.JHHA2016.Add_Mod2N,27554,110883,138855750,165324,1.65324
QuantumArithmetic.JHHA2016.Add_Mod2N,32768,131800,165002000,196608,1.96608
QuantumArithmetic.JHHA2016.Add_Mod2N,38968,156665,196083250,233808,2.33808
QuantumArithmetic.JHHA2016.Add_Mod2N,46341,186229,233038250,278046,2.78046
QuantumArithmetic.JHHA2016.Add_Mod2N,55109,221379,276975750,330654,3.30654
QuantumArithmetic.JHHA2016.Add_Mod2N,65536,263172,329217000,393216,3.93216
QuantumArithmetic.JHHA2016.Add_Mod2N,77936,312864,391332000,467616,4.67616
QuantumArithmetic.JHHA2016.Add_Mod2N,92682,371949,542535642,556092,6.0057936
QuantumArithmetic.JHHA2016.Add_Mod2N,110218,442203,644965974,661308,7.1421264
QuantumArithmetic.JHHA2016.Add_Mod2N,131072,525740,766816920,786432,8.4934656
QuantumArithmetic.JHHA2016.Add_Mod2N,155872,625071,911641518,935232,10.1005056
QuantumArithmetic.JHHA2016.Add_Mod2N,185364,743182,1084025836,1112184,12.0115872
QuantumArithmetic.JHHA2016.Add_Mod2N,220436,883626,1288793188,1322616,14.2842528
QuantumArithmetic.JHHA2016.Add_Mod2N,262144,1050628,1532282104,1572864,16.9869312
QuantumArithmetic.JHHA2016.Add_Mod2N,311744,1249213,2101642746,1870464,21.6973824
QuantumArithmetic.JHHA2016.Add_Mod2N,370728,1485351,2498826862,2224368,25.8026688
QuantumArithmetic.JHHA2016.Add_Mod2N,440872,1766147,2971125734,2645232,30.6846912
QuantumArithmetic.JHHA2016.Add_Mod2N,524288,2100052,3532753944,3145728,36.4904448
QuantumArithmetic.JHHA2016.Add_Mod2N,623487,2497110,4200605500,3740922,43.3946952
QuantumArithmetic.JHHA2016.Add_Mod2N,741455,2969268,4994775256,4448730,51.605268
QuantumArithmetic.JHHA2016.Add_Mod2N,881744,3530736,6786507752,5290464,65.6017536
QuantumArithmetic.JHHA2016.Add_Mod2N,1048576,4198404,8069765648,6291456,78.0140544
QuantumArithmetic.TR2013.Add,3,20,73800,18,6.48e-05
QuantumArithmetic.TR2013.Add,4,25,101250,30,0.000108
QuantumArithmetic.TR2013.Add,5,30,95580,42,0.0001512
QuantumArithmetic.TR2013.Add,6,35,79750,54,0.0002376
QuantumArithmetic.TR2013.Add,7,40,80960,66,0.0002904
QuantumArithmetic.TR2013.Add,8,45,88650,78,0.0003432
QuantumArithmetic.TR2013.Add,10,54,90828,102,0.0004488
QuantumArithmetic.TR2013.Add,11,59,92038,114,0.0005016
QuantumArithmetic.TR2013.Add,13,68,94216,138,0.0006072
QuantumArithmetic.TR2013.Add,16,81,90882,174,0.0007656
QuantumArithmetic.TR2013.Add,19,95,96910,210,0.001092
QuantumArithmetic.TR2013.Add,23,113,154354,258,0.0013416
QuantumArithmetic.TR2013.Add,27,130,160100,306,0.0015912
QuantumArithmetic.TR2013.Add,32,152,167536,366,0.0019032
QuantumArithmetic.TR2013.Add,38,178,176324,438,0.0022776
QuantumArithmetic.TR2013.Add,45,208,186464,522,0.0027144
QuantumArithmetic.TR2013.Add,54,247,199646,630,0.003276
QuantumArithmetic.TR2013.Add,64,289,226850,750,0.0045
QuantumArithmetic.TR2013.Add,76,340,249800,894,0.005364
QuantumArithmetic.TR2013.Add,91,404,278600,1074,0.006444
QuantumArithmetic.TR2013.Add,108,475,310550,1278,0.007668
QuantumArithmetic.TR2013.Add,128,559,348350,1518,0.009108
QuantumArithmetic.TR2013.Add,152,659,393350,1806,0.010836
QuantumArithmetic.TR2013.Add,181,779,585462,2154,0.0146472
QuantumArithmetic.TR2013.Add,215,920,666960,2562,0.0174216
QuantumArithmetic.TR2013.Add,256,1089,764642,3054,0.0207672
QuantumArithmetic.TR2013.Add,304,1287,879086,3630,0.024684
QuantumArithmetic.TR2013.Add,362,1526,1017228,4326,0.0294168
QuantumArithmetic.TR2013.Add,431,1809,1180802,5154,0.0350472
QuantumArithmetic.TR2013.Add,512,2140,1372120,6126,0.0416568
QuantumArithmetic.TR2013.Add,609,2536,1952672,7290,0.055404
QuantumArithmetic.TR2013.Add,724,3005,2291290,8670,0.065892
QuantumArithmetic.TR2013.Add,861,3563,2770486,10314,0.0783864
QuantumArithmetic.TR2013.Add,1024,4225,3248450,12270,0.093252
QuantumArithmetic.TR2013.Add,1218,5013,3817386,14598,0.1109448
QuantumArithmetic.TR2013.Add,1448,5946,4491012,17358,0.1319208
QuantumArithmetic.TR2013.Add,1722,7055,5291710,20646,0.1569096
QuantumArithmetic.TR2013.Add,2048,8375,7584750,24558,0.2062872
QuantumArithmetic.TR2013.Add,2435,9939,8964198,29202,0.2452968
QuantumArithmetic.TR2013.Add,2896,11801,10606482,34734,0.2917656
QuantumArithmetic.TR2013.Add,3444,14012,12556584,41310,0.347004
QuantumArithmetic.TR2013.Add,4096,16641,14875362,49134,0.4127256
QuantumArithmetic.TR2013.Add,4871,19765,17630730,58434,0.4908456
QuantumArithmetic.TR2013.Add,5793,23478,20905596,69498,0.5837832
QuantumArithmetic.TR2013.Add,6889,27889,29686562,82650,0.76038
QuantumArithmetic.TR2013.Add,8192,33132,35251656,98286,0.9042312
QuantumArithmetic.TR2013.Add,9742,39364,41845112,116886,1.0753512
QuantumArithmetic.TR2013.Add,11585,46772,49682776,139002,1.2788184
QuantumArithmetic.TR2013.Add,13777,55579,59000582,165306,1.5208152
QuantumArithmetic.TR2013.Add,16384,66049,70059842,196590,1.808628
QuantumArithmetic.TR2013.Add,19484,78496,98318000,233790,2.3379
QuantumArithmetic.TR2013.Add,23170,93290,116810500,278022,2.78022
QuantumArithmetic.TR2013.Add,27554,110881,138799250,330630,3.3063
QuantumArithmetic.TR2013.Add,32768,131798,164945500,393198,3.93198
QuantumArithmetic.TR2013.Add,38968,156663,196026750,467598,4.67598
QuantumArithmetic.TR2013.Add,46341,186227,232981750,556074,5.56074
QuantumArithmetic.TR2013.Add,55109,221377,276919250,661290,6.6129
QuantumArithmetic.TR2013.Add,65536,263169,383880402,786414,8.4932712
QuantumArithmetic.TR2013.Add,77936,312862,456368796,935214,10.1003112
QuantumArithmetic.TR2013.Add,92682,371947,542514726,1112166,12.0113928
QuantumArithmetic.TR2013.Add,110218,442201,644945058,1322598,14.2840584
QuantumArithmetic.TR2013.Add,131072,525738,766892524,1572846,16.9867368
QuantumArithmetic.TR2013.Add,155872,625069,911717122,1870446,20.2008168
QuantumArithmetic.TR2013.Add,185364,743180,1083922960,2224350,24.02298
QuantumArithmetic.TR2013.Add,220436,883624,1486622088,2645214,30.6844824
QuantumArithmetic.TR2013.Add,262144,1050625,1767517770,3145710,36.490236
QuantumArithmetic.TR2013.Add,311744,1249211,2101539422,3740910,43.394556
QuantumArithmetic.TR2013.Add,370728,1485349,2498723538,4448718,51.6051288
QuantumArithmetic.TR2013.Add,440872,1766145,2971022410,5290446,61.3691736
QuantumArithmetic.TR2013.Add,524288,2100050,3532650620,6291438,72.9806808
QuantumArithmetic.TR2013.Add,623487,2497108,4799774776,7481826,92.7746424
QuantumArithmetic.TR2013.Add,741455,2969266,5707262452,8897442,110.3282808
QuantumArithmetic.TR2013.Add,881744,3530734,6786403948,10580910,131.203284
QuantumArithmetic.TR2013.Add,1048576,4198401,8069659922,12582894,156.0278856
Std.Arithmetic.FourierTDIncByLE,3,20,82600,131,0.0005764
Std.Arithmetic.FourierTDIncByLE,4,25,180290,306,0.0013464
Std.Arithmetic.FourierTDIncByLE,5,30,184380,525,0.00273
Std.Arithmetic.FourierTDIncByLE,6,35,363350,720,0.003744
Std.Arithmetic.FourierTDIncByLE,7,40,419120,924,0.0048048
Std.Arithmetic.FourierTDIncByLE,8,45,474890,1137,0.0059124
Std.Arithmetic.FourierTDIncByLE,10,54,586092,1669,0.0086788
Std.Arithmetic.FourierTDIncByLE,11,59,836550,1919,0.011514
Std.Arithmetic.FourierTDIncByLE,13,68,1020600,2446,0.014676
Std.Arithmetic.FourierTDIncByLE,16,81,1350450,3443,0.020658
Std.Arithmetic.FourierTDIncByLE,19,95,1536750,4412,0.026472
Std.Arithmetic.FourierTDIncByLE,23,113,1742850,5830,0.03498
Std.Arithmetic.FourierTDIncByLE,27,130,1984500,7641,0.045846
Std.Arithmetic.FourierTDIncByLE,32,152,1977856,9846,0.0669528
Std.Arithmetic.FourierTDIncByLE,38,178,2172884,12789,0.0869652
Std.Arithmetic.FourierTDIncByLE,45,208,2586224,16632,0.1130976
Std.Arithmetic.FourierTDIncByLE,54,247,2932766,22693,0.1543124
Std.Arithmetic.FourierTDIncByLE,64,289,3155042,28893,0.1964724
Std.Arithmetic.FourierTDIncByLE,76,340,3071480,36333,0.2761308
Std.Arithmetic.FourierTDIncByLE,91,404,3225688,45633,0.3468108
Std.Arithmetic.FourierTDIncByLE,108,475,4212950,57122,0.4341272
Std.Arithmetic.FourierTDIncByLE,128,559,6900998,69682,0.5295832
Std.Arithmetic.FourierTDIncByLE,152,659,7106478,84754,0.6441304
Std.Arithmetic.FourierTDIncByLE,181,779,7293078,102966,0.7825416
Std.Arithmetic.FourierTDIncByLE,215,920,7442120,124318,1.0442712
Std.Arithmetic.FourierTDIncByLE,256,1089,7657818,150066,1.2605544
Std.Arithmetic.FourierTDIncByLE,304,1287,7865774,180210,1.513764
Std.Arithmetic.FourierTDIncByLE,362,1526,8376452,219615,1.844766
Std.Arithmetic.FourierTDIncByLE,431,1809,8659378,263499,2.2133916
Std.Arithmetic.FourierTDIncByLE,512,2140,8984640,315015,2.646126
Std.Arithmetic.FourierTDIncByLE,609,2536,9333912,376707,3.1643388
Std.Arithmetic.FourierTDIncByLE,724,3005,9676690,449847,4.1385924
Std.Arithmetic.FourierTDIncByLE,861,3563,10300374,536979,4.9402068
Std.Arithmetic.FourierTDIncByLE,1024,4225,11000770,640647,5.8939524
Std.Arithmetic.FourierTDIncByLE,1218,5013,12067714,773860,7.119512
Std.Arithmetic.FourierTDIncByLE,1448,5946,13088148,921980,8.482216
Std.Arithmetic.FourierTDIncByLE,1722,7055,14761270,1098436,10.1056112
Std.Arithmetic.FourierTDIncByLE,2048,8375,16157830,1308380,12.037096
Std.Arithmetic.FourierTDIncByLE,2435,9939,19154390,1557608,15.57608
Std.Arithmetic.FourierTDIncByLE,2896,11801,21481890,1854492,18.54492
Std.Arithmetic.FourierTDIncByLE,3444,14012,24245640,2207404,22.07404
Std.Arithmetic.FourierTDIncByLE,4096,16641,27765130,2660145,26.60145
Std.Arithmetic.FourierTDIncByLE,4871,19765,31670130,3165445,31.65445
Std.Arithmetic.FourierTDIncByLE,5793,23478,36311380,3766589,37.66589
Std.Arithmetic.FourierTDIncByLE,6889,27889,47092922,4481181,48.3967548
Std.Arithmetic.FourierTDIncByLE,8192,33132,54770536,5330737,57.5719596
Std.Arithmetic.FourierTDIncByLE,9742,39364,63856792,6341337,68.4864396
Std.Arithmetic.RippleCarryCGIncByLE,3,28,35896,11,3.96e-05
Std.Arithmetic.RippleCarryCGIncByLE,4,35,52710,12,4.32e-05
Std.Arithmetic.RippleCarryCGIncByLE,5,42,69524,16,5.76e-05
Std.Arithmetic.RippleCarryCGIncByLE,6,49,86338,20,7.2e-05
Std.Arithmetic.RippleCarryCGIncByLE,7,56,164592,24,8.64e-05
Std.Arithmetic.RippleCarryCGIncByLE,8,63,105966,28,0.0001232
Std.Arithmetic.RippleCarryCGIncByLE,10,77,96394,36,0.0001584
Std.Arithmetic.RippleCarryCGIncByLE,11,84,111048,40,0.000176
Std.Arithmetic.RippleCarryCGIncByLE,13,97,101234,48,0.0002112
Std.Arithmetic.RippleCarryCGIncByLE,16,117,106074,60,0.000264
Std.Arithmetic.RippleCarryCGIncByLE,19,137,110914,72,0.0003168
Std.Arithmetic.RippleCarryCGIncByLE,23,163,110726,88,0.0003872
Std.Arithmetic.RippleCarryCGIncByLE,27,189,128682,104,0.0005408
Std.Arithmetic.RippleCarryCGIncByLE,32,221,139498,124,0.0006448
