op,n,Logical qubits,Physical qubits,Logical depth,"Runtime, seconds"
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,1)",32,4567,6241870,4524534,45.24534
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,1)",38,6331,8446870,7593150,75.9315
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,1)",45,8753,11474370,12632660,126.3266
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,1)",54,12443,18675014,21865022,236.1422376
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,1)",64,17303,25760894,36447222,393.6299976
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,1)",76,24191,35770278,61099734,659.8771272
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,1)",91,34421,58362602,104987964,1217.8603824
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,1)",108,48191,81557062,175638230,2037.403468
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,1)",128,67351,129915102,292587510,3628.085124
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,11)",3,75,160870,700,0.00364
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,11)",4,90,165940,1258,0.0065416
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,11)",5,106,236980,2020,0.01212
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,11)",6,121,243730,3050,0.0183
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,11)",7,137,250930,4476,0.026856
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,11)",8,152,257680,6554,0.039324
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,11)",10,182,357196,15226,0.1035368
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,11)",11,198,384444,24892,0.1692656
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,11)",13,283,451574,52060,0.354008
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,11)",16,340,515480,70590,0.536484
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,11)",19,397,556634,94468,0.7179568
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,11)",23,569,716818,218396,1.6598096
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,11)",27,661,853002,288716,2.4252144
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,11)",32,775,953550,400002,3.3600168
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,11)",38,1069,1284858,758038,6.3675192
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,11)",45,1441,2057698,1342932,12.3549744
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,11)",54,1718,2384084,1912762,17.5974104
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,11)",64,2287,2986086,3242766,29.8334472
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,11)",76,3013,3754194,5366626,49.3729592
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,11)",91,4333,5949370,9991740,99.9174
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,11)",108,5565,7489370,15672910,156.7291
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,11)",128,7614,11601012,26571302,286.9700616
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,11)",152,10250,15444300,43900110,474.121188
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,11)",181,14373,21455634,75964260,820.414008
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,11)",215,19646,33511052,126539668,1467.8601488
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,11)",256,27483,46726206,216038550,2506.04718
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,11)",304,37491,63559662,356311974,4133.2188984
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,11)",362,51875,100170230,596876922,7401.2738328
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,11)",431,73829,142465778,1028033684,12747.6176816
